situation,thought,emotion,polarity
I continued to drive despite the warnings . , my car would be totaled . ," ""Fearful",0
I continued to drive despite the warnings . , I will damage the car . ," ""Fearful",0
I continued to drive despite the warnings . , I would have an accident  . ," ""Fearful",0
I continued to drive despite the warnings . , I may get into an accident . ," ""Fearful",0
The students crowd around the table to get a better view of the experiment . , I will be pushed . ," ""Fearful",0
The students crowd around the table to get a better view of the experiment . , I will be stepped on . ," ""Fearful",0
The students crowd around the table to get a better view of the experiment . , I will not be able to see . ," ""Angry",0
The students crowd around the table to get a better view of the experiment . , the table will collapse . ," ""Fearful",0
I decided to go on a hike with my friends . , I  would  get  lost . ," ""Fearful",0
I decided to go on a hike with my friends . , I wouldn't be able to keep up . ," ""Fearful",0
I decided to go on a hike with my friends . , I might fall and get hurt . ," ""Fearful",0
I yelled back at my brother when he called me names . , I will be in big trouble . ," ""Fearful",0
I yelled back at my brother when he called me names . , I will regret it later . ," ""Fearful",0
I yelled back at my brother when he called me names . , he won't talk to me for awhile . ," ""Sad",0
I yelled back at my brother when he called me names . , he will never listen to me . ," ""Sad",0
I would play tennis with my friend . , I will not be able to hit the ball  . ," ""Fearful",0
I would play tennis with my friend . , I will not win . ," ""Sad",0
I would play tennis with my friend . , I would  be   very   bad . ," ""Fearful",0
I would play tennis with my friend . , I would never win . ," ""Angry",0
I would play tennis with my friend . , I would always lose . ," ""Sad",0
My dad is taking me to work with him today . , I will be bored . ," ""Sad",0
My dad is taking me to the library because I have a project due . , I will be embarrassed . ," ""Fearful",0
My dad is taking me to the library because I have a project due . , I will have to carry all the books . ," ""Angry",0
My dad is taking me to the library because I have a project due . , I will be bored . ," ""Sad",0
My dad is taking me to the library because I have a project due . , I will never be able to find anything good to read . ," ""Sad",0
I almost hit a pedestrian with my car . , I will get sued . ," ""Fearful",0
I almost hit a pedestrian with my car . , I will get into an accident . ," ""Fearful",0
I almost hit a pedestrian with my car . , that I am a bad driver . ," ""Sad",0
My boss also told me that I need to come in early tomorrow . , I will not be able to wake up on time . ," ""Fearful",0
My boss also told me that I need to come in early tomorrow . , I will never get a day off . ," ""Angry",0
My boss also told me that I need to come in early tomorrow . , I will have to get up really early . ," ""Sad",0
I asked my friend to stay with me during winter break . , s/he will say no . ," ""Sad",0
I asked my friend to stay with me during winter break . , I may have to provide all the entertainment . ," ""Fearful",0
I asked my friend to stay with me during winter break . , he may not want to stay with me the whole time . ," ""Fearful",0
I asked my friend to stay with me during winter break . , he would take advantage of my hospitality . ," ""Fearful",0
I will form my opinion after the presentation . , I will not be respected . ," ""Angry",0
I will form my opinion after the presentation . , no one will listen to me . ," ""Sad",0
I will form my opinion after the presentation . , I will not be able to do it . ," ""Fearful",0
I will form my opinion after the presentation . , I will be influenced by others in the group . ," ""Angry",0
I will form my opinion after the presentation . , it will be biased . ," ""Sad",0
I am forming a new organization with my friends . , it will not be successful . ," ""Sad",0
I am forming a new organization with my friends . , it may not work out the way I want it to . ," ""Fearful",0
