round_number	emotion	text_id	timestamp	prolific_id	anger	boredom	disgust	fear	guilt	joy	pride	relief	sadness	shame	surprise	trust	generated_text	hidden_emo_text	event_duration	emotion_duration	intensity	confidence	suddenness	familiarity	predict_event	pleasantness	unpleasantness	goal_relevance	chance_responsblt	self_responsblt	other_responsblt	predict_conseq	goal_support	urgency	self_control	other_control	chance_control	accept_conseq	standards	social_norms	attention	not_consider	effort	previous_participation	age	gender	education	ethnicity	extravert	critical	dependable	anxious	open	quiet	sympathetic	disorganized	calm	conventional	did_you_lie?	original_demographics
round-2	anger	215	2021/07/20 4:12:25 pm EET	f29aa2d9930b2c3005e4176f70479f9e	1	3	1	1	1	3	1	1	2	1	1	3	people get under my skin. Like for example if an entitled customer shows up at my work and  demands to speak to my manager for a simple issue that I can resolve. This happens on almost a daily occurrence and it really makes me angry.	people get under my skin. Like for example if an entitled customer shows up at my work and  demands to speak to my manager for a simple issue that I can resolve. This happens on almost a daily occurrence and it really makes me ....	minutes	hours	4	5	2	5	5	1	5	2	1	1	5	4	3	2	4	1	1	1	5	4	2	5	4	Yes, first time, I will answer the following questions.	18	Male	High school	North American	2.0	1.0	7.0	5.0	7.0	7.0	7.0	2.0	3.0	2.0	--	ORIGINAL
round-2	anger	216	2021/07/20 4:24:44 pm EET	18fa800cc02bc318c94d6415c23172cd	4	1	1	2	1	2	3	3	2	2	3	3	I was driving on the highway and someone cut me off and brake checked me, almost causing a car accident	I was driving on the highway and someone cut me off and brake checked me, almost causing a car accident	seconds	hours	5	5	5	4	2	1	5	4	3	2	5	2	2	5	3	4	1	3	3	4	5	3	4	Yes, first time, I will answer the following questions.	23	Male	Undergraduate degree (BA/BSc/other)	North American	5.0	3.0	6.0	5.0	5.0	4.0	5.0	3.0	4.0	4.0	--	ORIGINAL
round-2	anger	217	2021/07/20 4:25:59 pm EET	99907d478cdbaeb5388db3459408282c	1	3	2	2	2	2	3	2	4	3	2	3	someone misunderstands me and takes it out of context	someone misunderstands me and takes it out of context	days	seconds	2	2	3	2	3	2	4	3	2	2	4	2	3	1	2	3	3	3	3	2	3	3	3	Yes, first time, I will answer the following questions.	26	Male	Undergraduate degree (BA/BSc/other)	South Asian	1.0	3.0	5.0	6.0	3.0	7.0	7.0	4.0	6.0	5.0	--	ORIGINAL
round-2	anger	218	2021/07/20 4:27:24 pm EET	2475d464084cccf82ac3e72ea8721a5c	1	5	2	1	1	1	1	3	1	1	1	2	a child called me a name behind my back after i had told him off due to his behaviour.	a child called me a name behind my back after i had told him off due to his behaviour.	minutes	minutes	4	4	4	5	5	1	5	3	1	2	5	2	1	5	1	5	1	5	3	5	5	4	5	Yes, first time, I will answer the following questions.	19	Female	Secondary education	European	5.0	4.0	5.0	5.0	5.0	5.0	5.0	4.0	5.0	3.0	--	ORIGINAL
round-2	anger	219	2021/07/20 4:29:02 pm EET	cb83b6f7181863ab7ccd76e203fb2a9e	1	3	1	1	1	2	1	2	1	1	1	1	I was driving home from work and an individual pulled out in front of me very abruptly, almost causing me to crash into them.	I was driving home from work and an individual pulled out in front of me very abruptly, almost causing me to crash into them.	seconds	minutes	4	5	5	2	1	1	4	4	3	1	5	2	1	5	2	5	1	3	4	4	5	3	2	Yes, first time, I will answer the following questions.	21	Female	Undergraduate degree (BA/BSc/other)	European	6.0	3.0	5.0	5.0	6.0	3.0	6.0	5.0	5.0	3.0	--	ORIGINAL
round-2	anger	21	2021/07/20 3:31:51 pm CET	56a75bcc6a524cfd42ed603bef923e85	2	3	1	1	1	2	2	2	1	1	1	2	I went outside my house to find a dozen large boxes had been delivered by my father in law for a thousand canning jars that we didn't want.	I went outside my house to find a dozen large boxes had been delivered by my father in law for a thousand canning jars that we didn't want.	minutes	days	4	5	4	3	2	1	4	3	1	1	5	2	1	4	1	4	1	3	3	1	2	4	4	Yes, first time, I will answer the following questions.	38	Male	Undergraduate degree (BA/BSc/other)	European	3.0	4.0	5.0	2.0	5.0	4.0	5.0	3.0	6.0	2.0	--	ORIGINAL
round-2	anger	22	2021/07/20 3:34:08 pm CET	a880badbe5c3ab98cb1e7a1c18eafa8c	1	3	1	1	1	1	1	1	1	1	1	1	A nurse in a hospital gave my mother too much insulin and then ran out of her supply the next day, telling my on the phone that we did not bring enough. They did not tell me about the overdose until later that day when I brought in extra.	A nurse in a hospital gave my mother too much insulin and then ran out of her supply the next day, telling my on the phone that we did not bring enough. They did not tell me about the overdose until later that day when I brought in extra.	days	days	3	5	5	3	1	1	5	4	1	1	5	1	1	5	1	5	1	4	5	2	5	1	3	Yes, first time, I will answer the following questions.	34	Male	Undergraduate degree (BA/BSc/other)	European	1.0	1.0	6.0	2.0	6.0	6.0	6.0	1.0	4.0	2.0	--	ORIGINAL
round-2	anger	23	2021/07/20 3:36:40 pm CET	2ec85e1f6cef3d83e8d87b3119640cfa	1	3	1	1	1	1	1	1	1	1	1	1	the side of my car got sideswiped, leaving a lot of damage which cost a lot of money to repair which wasn't my fault.	the side of my car got sideswiped, leaving a lot of damage which cost a lot of money to repair which wasn't my fault.	seconds	weeks	5	5	5	1	1	1	5	3	5	1	5	1	1	2	2	5	1	2	4	1	5	1	5	Yes, first time, I will answer the following questions.	25	Male	Undergraduate degree (BA/BSc/other)	European	2.0	6.0	7.0	2.0	5.0	5.0	4.0	2.0	6.0	4.0	--	ORIGINAL
round-2	anger	24	2021/07/20 3:39:09 pm CET	9e5c95af2f73501ac5c604576af76873	1	2	1	1	1	2	1	2	3	2	1	1	I had my facial reconstruction and was not given any pain meds afterwards due to them not believing that I couldn't swallow and being unwilling to give anything via IV.	I had my facial reconstruction and was not given any pain meds afterwards due to them not believing that I couldn't swallow and being unwilling to give anything via IV.	days	weeks	5	5	3	1	3	1	5	4	1	1	5	1	3	4	1	5	1	3	5	5	4	4	5	Yes, first time, I will answer the following questions.	29	Female	High school	European	3.0	3.0	1.0	3.0	6.0	3.0	5.0	7.0	5.0	1.0	--	ORIGINAL
round-2	anger	25	2021/07/20 6:29:35 pm CET	1a294e5ade965c4d599b18c0dae9fc70	1	1	1	1	1	1	2	3	1	1	1	1	I was too hot, I was unable to find the cable for my work monitor and my VPN log in was not working for work.	I was too hot, I was unable to find the cable for my work monitor and my VPN log in was not working for work.	seconds	seconds	5	5	5	4	3	1	5	2	4	5	1	3	1	1	5	1	1	3	4	1	4	1	5	Yes, first time, I will answer the following questions.	40	Male	Graduate degree (MA/MSc/MPhil/other)	European	3.0	6.0	4.0	6.0	5.0	5.0	5.0	5.0	5.0	6.0	--	ORIGINAL
round-2	anger	26	2021/07/20 6:33:10 pm CET	fa0a4aca7afe8e9562355122b283d553	1	2	1	1	1	1	1	1	1	1	1	1	A person close to me belittled my actions	A person close to me belittled my actions	hours	hours	4	1	4	4	4	1	5	5	1	1	5	3	4	4	2	4	1	4	5	2	4	4	4	Yes, first time, I will answer the following questions.	57	Female	Graduate degree (MA/MSc/MPhil/other)	North American	5.0	5.0	7.0	6.0	5.0	6.0	6.0	5.0	6.0	2.0	--	ORIGINAL
round-2	anger	27	2021/07/20 6:34:35 pm CET	b0ec57bab3c90f15c5ff0c8afa5373a6	2	3	1	1	1	3	3	3	1	1	1	2	I realised that someone I trusted completely does not trust me to the same extent	I realised that someone I trusted completely does not trust me to the same extent	minutes	days	4	4	5	1	3	1	5	1	3	1	4	5	1	4	2	5	1	3	4	1	2	1	3	Yes, first time, I will answer the following questions.	48	Female	Graduate degree (MA/MSc/MPhil/other)	European	5.0	2.0	6.0	3.0	6.0	4.0	6.0	2.0	5.0	2.0	--	ORIGINAL
round-2	anger	28	2021/07/20 6:40:07 pm CET	3e3e4c9549afb1fbf9d387f58a4ffddc	1	3	1	1	1	3	2	3	1	1	1	3	Someone did not do the shopping when they said they would.	Someone did not do the shopping when they said they would.	hours	hours	4	5	2	5	5	1	5	4	1	1	5	3	2	3	1	5	1	3	5	1	3	5	4	Yes, first time, I will answer the following questions.	28	Female	Graduate degree (MA/MSc/MPhil/other)	European	5.0	3.5	4.0	5.5	5.5	6.0	5.0	1.5	3.5	1.0	--	AVERAGED: text id 28, 225
round-2	anger	29	2021/07/20 6:40:51 pm CET	8a6b60ef8a3b88ed7d956575e1c1b713	1	1	1	1	1	2	2	2	1	1	1	3	When the women over the road don’t look after her animals	When the women over the road don’t look after her animals	days	minutes	3	4	2	1	4	1	5	1	1	1	5	2	1	2	3	1	4	4	3	4	2	4	1	Yes, first time, I will answer the following questions.	39	Female	No formal qualifications	British	4.0	1.0	6.0	5.0	5.0	3.0	6.0	1.0	5.0	2.0	--	ORIGINAL
round-2	anger	210	2021/07/20 7:51:23 pm EET	17220e612ae7550dbdcf31ac8b40ebb7	1	1	1	1	1	2	2	1	1	1	1	1	a granparent died	a granparent died	weeks	weeks	5	5	3	2	2	1	5	2	3	1	1	2	1	4	1	2	4	3	3	1	5	3	5	No, I participated before and answered the next set of questions.	30	Female	Graduate degree (MA/MSc/MPhil/other)	European	5.0	4.0	6.0	5.0	6.0	6.0	7.0	2.0	5.0	2.0	--	COPIED FROM: text id 2104
round-2	anger	211	2021/07/20 7:52:26 pm EET	c102a012748e4ac784229ac8f1932777	1	1	1	1	1	2	1	1	2	1	1	3	when my friend betrayed me	when my friend betrayed me	minutes	minutes	4	4	5	1	1	1	5	4	2	1	5	4	1	4	1	5	1	2	5	3	5	1	4	Yes, first time, I will answer the following questions.	42	Female	Undergraduate degree (BA/BSc/other)	European	2.0	3.0	4.0	6.0	6.0	5.0	7.0	4.0	4.0	1.0	--	ORIGINAL
round-2	anger	212	2021/07/20 7:53:15 pm EET	db66ca2f0446d1b946f395b720b518ec	4	1	1	1	1	3	2	2	1	1	1	3	My girlfriend went out and got drunk and disappeared for a few hours which was fine for her to do but if I don't answer my phone for a while, it automatically means I'm cheating.	My girlfriend went out and got drunk and disappeared for a few hours which was fine for her to do but if I don't answer my phone for a while, it automatically means I'm cheating.	hours	weeks	5	5	2	2	2	1	5	3	5	1	5	1	3	3	2	4	1	3	4	1	1	3	4	Yes, first time, I will answer the following questions.	26	Male	High school	European	5.0	7.0	6.0	4.0	7.0	6.0	5.0	5.0	6.0	1.0	--	ORIGINAL
round-2	anger	213	2021/07/20 7:57:45 pm EET	f8347c3a2b59b3bdd27a1b275ceef1af	1	3	1	1	1	1	1	2	1	1	1	2	I am struggling financially and it is not my fault.	I am struggling financially and it is not my fault.	weeks	weeks	5	5	1	2	3	1	5	5	5	1	1	3	1	5	1	1	5	1	5	2	3	5	5	Yes, first time, I will answer the following questions.	24	Male	Undergraduate degree (BA/BSc/other)	European	3.0	6.0	5.0	2.0	7.0	7.0	4.0	5.0	6.0	4.0	--	ORIGINAL
round-2	anger	214	2021/07/20 8:17:54 pm EET	e1cef712b112981646a3a7af02072884	4	3	2	1	3	4	4	2	2	1	2	4	when someone came in at work and wasn't wearing a mask and coughed over my shoulder during the covid-19 pandemic	when someone came in at work and wasn't wearing a mask and coughed over my shoulder during the covid-19 pandemic	seconds	seconds	5	5	5	5	3	1	5	1	1	1	5	5	1	5	5	5	1	4	3	5	5	1	1	No, I participated before and answered the next set of questions.	21	Female	Undergraduate degree (BA/BSc/other)	European	3.0	5.0	7.0	5.0	6.0	3.0	6.0	3.0	6.0	4.0	--	COPIED FROM: text id 252
round-3	anger	392	2021/09/03 3:54:41 pm EET	6e8d719f3a5b61b620267a82f9788663	1	1	1	1	1	2	1	1	1	1	1	1	I felt ANGER when people I cared and trusted talked badly about me behind my back. I had told them how much this bothered me before and yet they still did it.	I felt ... when people I cared and trusted talked badly about me behind my back. I had told them how much this bothered me before and yet they still did it.	minutes	hours	4	4	4	2	2	1	5	2	1	2	4	1	2	4	2	4	3	4	5	3	2	4	3	Yes, first time, I will answer the following questions.	23	Female	Undergraduate degree (BA/BSc/other)	North American	3.0	5.0	6.0	4.0	7.0	5.0	5.0	1.0	4.0	2.0	--	ORIGINAL
round-3	anger	393	2021/09/03 3:57:44 pm EET	02a20905af388a1319c2c8a7a6cad5b8	2	2	1	2	2	4	4	4	2	1	4	1	I was treated unfairly by other people.	I was treated unfairly by other people.	minutes	hours	4	4	4	3	2	1	5	3	3	4	2	1	2	3	2	4	2	4	4	2	4	5	4	Yes, first time, I will answer the following questions.	19	Female	High school	European	5.0	4.5	5.5	5.5	5.0	6.0	6.5	2.0	5.0	4.5	--	AVERAGED: text id 393, 51261
round-3	anger	394	2021/09/03 4:00:48 pm EET	d7aacc4c77407217837b6a409d3fe3e8	4	4	4	4	4	2	4	2	1	5	4	1	My car didn’t start	My car didn’t start	minutes	weeks	5	5	3	5	4	2	5	4	4	3	4	4	1	4	2	1	3	1	1	1	4	5	5	No, I participated before and answered the next set of questions.	23	Male	Secondary education	Australian/New Zealander	7.0	5.0	6.0	6.0	6.0	6.0	7.0	3.0	4.0	5.0	--	COPIED FROM REJECTED: text id 36
round-3	anger	395	2021/09/03 4:10:49 pm EET	a7fd60506db1a5115ff6f103849c58ee	1	3	1	1	1	2	2	2	1	1	1	1	nurses that I work with consistently make it known that they refuse to be vaccinated against COVID-19. Our hospital is in crisis mode due to one of the worst waves of COVID we've ever seen, and yet they refuse to be responsible in their own line of work.	nurses that I work with consistently make it known that they refuse to be vaccinated against COVID-19. Our hospital is in crisis mode due to one of the worst waves of COVID we've ever seen, and yet they refuse to be responsible in their own line of work.	weeks	weeks	4	5	1	3	3	1	5	3	2	1	4	4	1	1	2	2	4	2	5	4	2	4	4	Yes, first time, I will answer the following questions.	20	Female	High school	North American	2.0	3.0	6.0	5.0	5.0	5.0	6.0	1.0	6.0	5.0	--	ORIGINAL
round-3	anger	396	2021/09/03 4:11:59 pm EET	4ec69d69ba8b502328d569f2f1160848	3	2	1	1	1	2	2	2	2	1	1	2	I felt ANGER when my friend's girlfriend touched my stuff without permission.	I felt ... when my friend's girlfriend touched my stuff without permission.	hours	weeks	4	4	4	5	5	1	5	3	1	1	5	3	1	2	3	4	1	4	4	3	2	2	3	Yes, first time, I will answer the following questions.	19	Female	High school	North American	6.0	2.0	6.0	6.0	7.0	2.0	5.0	5.0	5.0	1.0	--	ORIGINAL
round-3	anger	398	2021/09/03 4:14:29 pm EET	7232fdf6568eeae9386dc7e94e097233	1	1	1	1	1	2	3	2	1	1	2	2	A manager totally blocked an idea that was for charity	A manager totally blocked an idea that was for charity	days	days	5	5	5	1	1	1	5	5	1	1	5	1	1	5	3	5	1	1	5	5	5	1	5	Yes, first time, I will answer the following questions.	65	Female	Undergraduate degree (BA/BSc/other)	European	5.0	4.0	7.0	2.5	2.5	2.0	7.0	2.0	5.5	7.0	--	AVERAGED: text id 398, 5511
round-3	anger	399	2021/09/03 4:16:37 pm EET	5759d24a9ea77d492f7ea1da175c3f20	1	3	1	1	1	4	3	3	1	1	1	3	I felt anger when I walked outside to my garden and saw that deer ate a lot of the plants	I felt ... when I walked outside to my garden and saw that deer ate a lot of the plants	seconds	hours	4	5	5	4	2	1	5	2	4	3	5	3	4	4	1	5	5	5	1	1	4	4	2	Yes, first time, I will answer the following questions.	25	Male	Undergraduate degree (BA/BSc/other)	North American	2.0	2.0	7.0	5.0	3.0	7.0	5.0	2.0	6.0	4.0	--	ORIGINAL
